audio_event_id,audio_recording_id,audio_recording_uuid,audio_recording_start_date_australia_brisbane_10_00,audio_recording_start_time_australia_brisbane_10_00,audio_recording_start_datetime_australia_brisbane_10_00,event_created_at_date_australia_brisbane_10_00,event_created_at_time_australia_brisbane_10_00,event_created_at_datetime_australia_brisbane_10_00,projects,site_id,site_name,event_start_date_australia_brisbane_10_00,event_start_time_australia_brisbane_10_00,event_start_datetime_australia_brisbane_10_00,event_start_seconds,event_end_seconds,event_duration_seconds,low_frequency_hertz,high_frequency_hertz,is_reference,created_by,updated_by,common_name_tags,common_name_tag_ids,species_name_tags,species_name_tag_ids,other_tags,other_tag_ids,listen_url,library_url
258081,463221,f3802bc9-4385-47b7-8e44-1849eb59cb1a,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-04-28,17:39:29,2018-04-28T17:39:29+10:00,1088:Cunnamulla,1792,Intermediate Growth 1,2017-09-25,07:41:38,2017-09-25T07:41:38+10:00,5858.448,5860.368,1.92,187.5,2250.0,false,225,225,,,,,528:Cow:general,528,http://api.ecosounds.org/listen/463221?start=5850&end=5880,http://api.ecosounds.org/library/463221/audio_events/258081
258080,463221,f3802bc9-4385-47b7-8e44-1849eb59cb1a,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-04-28,17:34:34,2018-04-28T17:34:34+10:00,1088:Cunnamulla,1792,Intermediate Growth 1,2017-09-25,07:08:27,2017-09-25T07:08:27+10:00,3867.5413,3868.9493,1.408,1031.25,2203.125,false,225,225,158:Red-browed Pardalote,158,,,,,http://api.ecosounds.org/listen/463221?start=3840&end=3870,http://api.ecosounds.org/library/463221/audio_events/258080
258079,463221,f3802bc9-4385-47b7-8e44-1849eb59cb1a,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-04-28,17:31:07,2018-04-28T17:31:07+10:00,1088:Cunnamulla,1792,Intermediate Growth 1,2017-09-25,07:02:23,2017-09-25T07:02:23+10:00,3503.9573,3508.2667,4.3094,234.375,1828.125,false,225,225,,,,,528:Cow:general,528,http://api.ecosounds.org/listen/463221?start=3480&end=3510,http://api.ecosounds.org/library/463221/audio_events/258079
258078,463221,f3802bc9-4385-47b7-8e44-1849eb59cb1a,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-04-28,17:30:58,2018-04-28T17:30:58+10:00,1088:Cunnamulla,1792,Intermediate Growth 1,2017-09-25,07:02:18,2017-09-25T07:02:18+10:00,3498.6027,3501.7387,3.136,1781.25,4078.125,false,225,225,169:Rufous Whistler,169,,,,,http://api.ecosounds.org/listen/463221?start=3480&end=3510,http://api.ecosounds.org/library/463221/audio_events/258078
258077,463221,f3802bc9-4385-47b7-8e44-1849eb59cb1a,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-04-28,17:30:17,2018-04-28T17:30:17+10:00,1088:Cunnamulla,1792,Intermediate Growth 1,2017-09-25,06:48:25,2017-09-25T06:48:25+10:00,2665.5147,2667.1787,1.664,187.5,1781.25,false,225,225,,,,,528:Cow:general,528,http://api.ecosounds.org/listen/463221?start=2640&end=2670,http://api.ecosounds.org/library/463221/audio_events/258077
258076,463221,f3802bc9-4385-47b7-8e44-1849eb59cb1a,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-04-28,17:28:27,2018-04-28T17:28:27+10:00,1088:Cunnamulla,1792,Intermediate Growth 1,2017-09-25,06:41:07,2017-09-25T06:41:07+10:00,2227.744,2230.56,2.816,93.75,1218.75,false,225,225,,,,,528:Cow:general,528,http://api.ecosounds.org/listen/463221?start=2220&end=2250,http://api.ecosounds.org/library/463221/audio_events/258076
258075,463221,f3802bc9-4385-47b7-8e44-1849eb59cb1a,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-04-28,17:21:29,2018-04-28T17:21:29+10:00,1088:Cunnamulla,1792,Intermediate Growth 1,2017-09-25,06:09:04,2017-09-25T06:09:04+10:00,304.6507,306.976,2.3253,0.0,1406.25,false,225,225,,,,,528:Cow:general,528,http://api.ecosounds.org/listen/463221?start=300&end=330,http://api.ecosounds.org/library/463221/audio_events/258075
258074,463253,83de2488-2b91-452c-af28-8bab0c035295,2017-09-24,06:06:00,2017-09-24T06:06:00+10:00,2018-04-28,17:17:15,2018-04-28T17:17:15+10:00,1088:Cunnamulla,1792,Intermediate Growth 1,2017-09-24,07:57:19,2017-09-24T07:57:19+10:00,6679.0293,6681.9733,2.944,4218.75,8625.0,false,225,225,,,,,540:Fairy-wren:general,540,http://api.ecosounds.org/listen/463253?start=6660&end=6690,http://api.ecosounds.org/library/463253/audio_events/258074
258073,463253,83de2488-2b91-452c-af28-8bab0c035295,2017-09-24,06:06:00,2017-09-24T06:06:00+10:00,2018-04-28,17:12:58,2018-04-28T17:12:58+10:00,1088:Cunnamulla,1792,Intermediate Growth 1,2017-09-24,07:08:45,2017-09-24T07:08:45+10:00,3765.3387,3767.3867,2.048,6234.375,8390.625,false,225,225,,,,,540:Fairy-wren:general,540,http://api.ecosounds.org/listen/463253?start=3750&end=3780,http://api.ecosounds.org/library/463253/audio_events/258073
258072,463242,84f4b743-203e-49c8-8331-d89d3acd4941,2017-09-21,06:09:00,2017-09-21T06:09:00+10:00,2018-04-28,17:06:23,2018-04-28T17:06:23+10:00,1088:Cunnamulla,1792,Intermediate Growth 1,2017-09-21,08:09:43,2017-09-21T08:09:43+10:00,7243.9093,7245.232,1.3227,6234.375,9234.375,false,225,225,,,,,540:Fairy-wren:general,540,http://api.ecosounds.org/listen/463242?start=7230&end=7260,http://api.ecosounds.org/library/463242/audio_events/258072
258071,463242,84f4b743-203e-49c8-8331-d89d3acd4941,2017-09-21,06:09:00,2017-09-21T06:09:00+10:00,2018-04-28,17:01:41,2018-04-28T17:01:41+10:00,1088:Cunnamulla,1792,Intermediate Growth 1,2017-09-21,07:13:12,2017-09-21T07:13:12+10:00,3852.2027,3853.2907,1.088,6562.5,10781.25,false,225,225,,,,,540:Fairy-wren:general,540,http://api.ecosounds.org/listen/463242?start=3840&end=3870,http://api.ecosounds.org/library/463242/audio_events/258071
