Site number,Site name,Site Type,SM3 number/owner,GPS Coordinates,Lat,long
1,OM01,Old Mulga,Ultrasonic and Acoustic,55J 0360144 UTM 6906618,-27.95817,145.57821
2,IM01,Intermediate,Ultrasonic and Acoustic,55J 0355042 UTM 6902769,-27.99236,145.52588
3,IM02,Intermediate,Ultrasonic and Acoustic,55J 0355244 UTM 6903625,-27.98465,145.52804
4,RM01,Regrowth,Ultrasonic and Acoustic,55J 0354926 UTM 6904641,-27.97545,145.52494
5,RM02,Regrowth,Ultrasonic and Acoustic,55J 0355302 UTM 6905162,-27.97079,145.52882
6,IM03,Intermediate,Acoustic,55J 0356114 UTM 6906710,-27.95691,145.53726
7,SE01,Stoney Emergent,Acoustic,55J 0356280 UTM 6907342,-27.95122,145.53903
8,RM03,Regrowth,Acoustic,55J 0353776 UTM 6905435,-27.96816,145.51334
9,OM02,Old Gidgee,Ultrasonic and Acoustic,55J 0362209 UTM 6903661,-27.98507,145.59885
10,CT01,Acacia Victoriae shrub,Acoustic,55J 0359819 UTM 6904199,-27.97996,145.57462
11,CT02,Shrub land,Acoustic,55J 0367247 UTM 6903252,-27.98927,145.65003
12,OM03,Old Gidgee,Acoustic,55J 0358130 UTM 6901115,-28.00762,145.55708
13,IM04,Intermediate growth,Acoustic,55J 0356503 UTM 6903303,-27.9877,145.5408
