audio_event_id,audio_recording_id,audio_recording_uuid,audio_recording_start_date_australia_brisbane_10_00,audio_recording_start_time_australia_brisbane_10_00,audio_recording_start_datetime_australia_brisbane_10_00,event_created_at_date_australia_brisbane_10_00,event_created_at_time_australia_brisbane_10_00,event_created_at_datetime_australia_brisbane_10_00,projects,site_id,site_name,event_start_date_australia_brisbane_10_00,event_start_time_australia_brisbane_10_00,event_start_datetime_australia_brisbane_10_00,event_start_seconds,event_end_seconds,event_duration_seconds,low_frequency_hertz,high_frequency_hertz,is_reference,created_by,updated_by,common_name_tags,common_name_tag_ids,species_name_tags,species_name_tag_ids,other_tags,other_tag_ids,listen_url,library_url
257498,460874,8a00e72b-1233-492a-be86-393eb5040146,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-03-26,12:31:50,2018-03-26T12:31:50+10:00,1088:Cunnamulla,1750,Old Mulga 1,2017-09-25,09:03:50,2017-09-25T09:03:50+10:00,10790.672,10794.1067,3.4347,1921.875,7593.75,false,225,225,49:Chestnut-rumped Thornbill,49,,,,,http://api.ecosounds.org/listen/460874?start=10770&end=10800,http://api.ecosounds.org/library/460874/audio_events/257498
257496,460874,8a00e72b-1233-492a-be86-393eb5040146,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-03-26,12:07:07,2018-03-26T12:07:07+10:00,1088:Cunnamulla,1750,Old Mulga 1,2017-09-25,08:21:09,2017-09-25T08:21:09+10:00,8229.4293,8230.8587,1.4294,3328.125,8812.5,false,225,225,127:Mistletoebird,127,,,,,http://api.ecosounds.org/listen/460874?start=8220&end=8250,http://api.ecosounds.org/library/460874/audio_events/257496
257495,460874,8a00e72b-1233-492a-be86-393eb5040146,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-03-26,12:06:01,2018-03-26T12:06:01+10:00,1088:Cunnamulla,1750,Old Mulga 1,2017-09-25,08:04:44,2017-09-25T08:04:44+10:00,7244.8907,7249.904,5.0133,609.375,3796.875,false,225,225,102:Hall's Babbler,102,,,,,http://api.ecosounds.org/listen/460874?start=7230&end=7260,http://api.ecosounds.org/library/460874/audio_events/257495
257494,460874,8a00e72b-1233-492a-be86-393eb5040146,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-03-26,12:04:18,2018-03-26T12:04:18+10:00,1088:Cunnamulla,1750,Old Mulga 1,2017-09-25,07:55:45,2017-09-25T07:55:45+10:00,6705.3813,6706.3413,0.96,2625.0,9281.25,false,225,225,127:Mistletoebird,127,,,,,http://api.ecosounds.org/listen/460874?start=6690&end=6720,http://api.ecosounds.org/library/460874/audio_events/257494
257493,460874,8a00e72b-1233-492a-be86-393eb5040146,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-03-26,11:57:32,2018-03-26T11:57:32+10:00,1088:Cunnamulla,1750,Old Mulga 1,2017-09-25,07:45:02,2017-09-25T07:45:02+10:00,6062.688,6066.6987,4.0107,3468.75,7453.125,false,225,225,241:Yellow Thornbill,241,,,,,http://api.ecosounds.org/listen/460874?start=6060&end=6090,http://api.ecosounds.org/library/460874/audio_events/257493
257492,460874,8a00e72b-1233-492a-be86-393eb5040146,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-03-26,11:57:07,2018-03-26T11:57:07+10:00,1088:Cunnamulla,1750,Old Mulga 1,2017-09-25,07:45:29,2017-09-25T07:45:29+10:00,6089.0347,6089.8453,0.8106,2578.125,8203.125,false,225,225,127:Mistletoebird,127,,,,,http://api.ecosounds.org/listen/460874?start=6060&end=6090,http://api.ecosounds.org/library/460874/audio_events/257492
257491,460874,8a00e72b-1233-492a-be86-393eb5040146,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-03-26,11:54:21,2018-03-26T11:54:21+10:00,1088:Cunnamulla,1750,Old Mulga 1,2017-09-25,07:41:20,2017-09-25T07:41:20+10:00,5840.5653,5843.616,3.0507,2250.0,6609.375,false,225,225,33:Brown Honeyeater,33,,,,,http://api.ecosounds.org/listen/460874?start=5820&end=5850,http://api.ecosounds.org/library/460874/audio_events/257491
257490,460874,8a00e72b-1233-492a-be86-393eb5040146,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-03-26,11:52:42,2018-03-26T11:52:42+10:00,1088:Cunnamulla,1750,Old Mulga 1,2017-09-25,07:26:56,2017-09-25T07:26:56+10:00,4976.3253,4979.9307,3.6054,562.5,1875.0,false,225,225,60:Crested Bellbird,60,,,,,http://api.ecosounds.org/listen/460874?start=4950&end=4980,http://api.ecosounds.org/library/460874/audio_events/257490
257489,460874,8a00e72b-1233-492a-be86-393eb5040146,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-03-26,11:51:40,2018-03-26T11:51:40+10:00,1088:Cunnamulla,1750,Old Mulga 1,2017-09-25,07:26:30,2017-09-25T07:26:30+10:00,4950.0,4954.48,4.48,468.75,1593.75,false,225,225,8:Australian Raven,8,,,,,http://api.ecosounds.org/listen/460874?start=4950&end=4980,http://api.ecosounds.org/library/460874/audio_events/257489
257487,460874,8a00e72b-1233-492a-be86-393eb5040146,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-03-26,11:49:42,2018-03-26T11:49:42+10:00,1088:Cunnamulla,1750,Old Mulga 1,2017-09-25,07:08:53,2017-09-25T07:08:53+10:00,3893.104,3894.576,1.472,3000.0,7406.25,false,225,225,235:Willie Wagtail,235,,,,,http://api.ecosounds.org/listen/460874?start=3870&end=3900,http://api.ecosounds.org/library/460874/audio_events/257487
