audio_event_id,audio_recording_id,audio_recording_uuid,audio_recording_start_date_australia_brisbane_10_00,audio_recording_start_time_australia_brisbane_10_00,audio_recording_start_datetime_australia_brisbane_10_00,event_created_at_date_australia_brisbane_10_00,event_created_at_time_australia_brisbane_10_00,event_created_at_datetime_australia_brisbane_10_00,projects,site_id,site_name,event_start_date_australia_brisbane_10_00,event_start_time_australia_brisbane_10_00,event_start_datetime_australia_brisbane_10_00,event_start_seconds,event_end_seconds,event_duration_seconds,low_frequency_hertz,high_frequency_hertz,is_reference,created_by,updated_by,common_name_tags,common_name_tag_ids,species_name_tags,species_name_tag_ids,other_tags,other_tag_ids,listen_url,library_url
257520,462978,f66e602e-3e42-40ce-8260-74a76e5d8fe4,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-03-26,19:28:18,2018-03-26T19:28:18+10:00,1088:Cunnamulla,1796,Regrowth Mulga 1,2017-09-25,08:21:42,2017-09-25T08:21:42+10:00,8262.672,8268.0267,5.3547,1875.0,10406.25,false,225,225,245:Yellow-rumped Thornbill,245,,,,,http://api.ecosounds.org/listen/462978?start=8250&end=8280,http://api.ecosounds.org/library/462978/audio_events/257520
257518,462978,f66e602e-3e42-40ce-8260-74a76e5d8fe4,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-03-26,19:19:58,2018-03-26T19:19:58+10:00,1088:Cunnamulla,1796,Regrowth Mulga 1,2017-09-25,07:08:45,2017-09-25T07:08:45+10:00,3885.4453,3887.9627,2.5174,796.875,4265.625,false,225,225,169:Rufous Whistler,169,,,,,http://api.ecosounds.org/listen/462978?start=3870&end=3900,http://api.ecosounds.org/library/462978/audio_events/257518
257517,462978,f66e602e-3e42-40ce-8260-74a76e5d8fe4,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-03-26,19:15:40,2018-03-26T19:15:40+10:00,1088:Cunnamulla,1796,Regrowth Mulga 1,2017-09-25,07:06:00,2017-09-25T07:06:00+10:00,3720.4693,3722.0267,1.5574,4500.0,8296.875,false,225,225,,,,,540:Fairy-wren:general,540,http://api.ecosounds.org/listen/462978?start=3720&end=3750,http://api.ecosounds.org/library/462978/audio_events/257517
257516,462978,f66e602e-3e42-40ce-8260-74a76e5d8fe4,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-03-26,19:14:30,2018-03-26T19:14:30+10:00,1088:Cunnamulla,1796,Regrowth Mulga 1,2017-09-25,07:02:45,2017-09-25T07:02:45+10:00,3525.936,3527.216,1.28,5718.75,8953.125,false,225,225,,,,,540:Fairy-wren:general,540,http://api.ecosounds.org/listen/462978?start=3510&end=3540,http://api.ecosounds.org/library/462978/audio_events/257516
257515,462978,f66e602e-3e42-40ce-8260-74a76e5d8fe4,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-03-26,19:06:57,2018-03-26T19:06:57+10:00,1088:Cunnamulla,1796,Regrowth Mulga 1,2017-09-25,06:13:21,2017-09-25T06:13:21+10:00,561.824,562.6347,0.8107,890.625,5718.75,false,225,225,163:Red-winged Parrot,163,,,,,http://api.ecosounds.org/listen/462978?start=540&end=570,http://api.ecosounds.org/library/462978/audio_events/257515
257514,462978,f66e602e-3e42-40ce-8260-74a76e5d8fe4,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-03-26,19:04:23,2018-03-26T19:04:23+10:00,1088:Cunnamulla,1796,Regrowth Mulga 1,2017-09-25,06:09:44,2017-09-25T06:09:44+10:00,344.6347,346.64,2.0053,4265.625,7828.125,false,225,225,49:Chestnut-rumped Thornbill,49,,,,,http://api.ecosounds.org/listen/462978?start=330&end=360,http://api.ecosounds.org/library/462978/audio_events/257514
257513,462977,2d5a2a92-a8a8-457d-ae23-d967ec096ce7,2017-09-24,06:06:00,2017-09-24T06:06:00+10:00,2018-03-26,18:59:43,2018-03-26T18:59:43+10:00,1088:Cunnamulla,1796,Regrowth Mulga 1,2017-09-24,07:47:06,2017-09-24T07:47:06+10:00,6066.784,6068.896,2.112,2578.125,7734.375,false,225,225,49:Chestnut-rumped Thornbill,49,,,,,http://api.ecosounds.org/listen/462977?start=6060&end=6090,http://api.ecosounds.org/library/462977/audio_events/257513
257512,462973,e6fa1c92-4f03-49d0-a3d3-4efbbb39547d,2017-09-16,06:15:00,2017-09-16T06:15:00+10:00,2018-03-26,18:25:36,2018-03-26T18:25:36+10:00,1088:Cunnamulla,1796,Regrowth Mulga 1,2017-09-16,09:14:30,2017-09-16T09:14:30+10:00,10770.0213,10774.096,4.0747,5390.625,9609.375,false,225,225,,,,,591:Thornbill:general,591,http://api.ecosounds.org/listen/462973?start=10770&end=10800,http://api.ecosounds.org/library/462973/audio_events/257512
257511,462969,862b6197-e7a7-4102-9607-997a6d579946,2017-09-08,06:24:00,2017-09-08T06:24:00+10:00,2018-03-26,17:35:29,2018-03-26T17:35:29+10:00,1088:Cunnamulla,1796,Regrowth Mulga 1,2017-09-08,07:28:19,2017-09-08T07:28:19+10:00,3859.0293,3862.976,3.9467,515.625,1921.875,false,225,225,60:Crested Bellbird,60,,,,,http://api.ecosounds.org/listen/462969?start=3840&end=3870,http://api.ecosounds.org/library/462969/audio_events/257511
257509,462982,39833e72-1edb-4ec3-9724-0969c685d799,2017-09-07,06:25:00,2017-09-07T06:25:00+10:00,2018-03-26,16:36:20,2018-03-26T16:36:20+10:00,1088:Cunnamulla,1796,Regrowth Mulga 1,2017-09-07,07:09:39,2017-09-07T07:09:39+10:00,2679.5573,2680.9653,1.408,468.75,3750.0,false,225,225,99:Grey Shrike-thrush,99,,,,,http://api.ecosounds.org/listen/462982?start=2670&end=2700,http://api.ecosounds.org/library/462982/audio_events/257509
