audio_event_id,audio_recording_id,audio_recording_uuid,audio_recording_start_date_australia_brisbane_10_00,audio_recording_start_time_australia_brisbane_10_00,audio_recording_start_datetime_australia_brisbane_10_00,event_created_at_date_australia_brisbane_10_00,event_created_at_time_australia_brisbane_10_00,event_created_at_datetime_australia_brisbane_10_00,projects,site_id,site_name,event_start_date_australia_brisbane_10_00,event_start_time_australia_brisbane_10_00,event_start_datetime_australia_brisbane_10_00,event_start_seconds,event_end_seconds,event_duration_seconds,low_frequency_hertz,high_frequency_hertz,is_reference,created_by,updated_by,common_name_tags,common_name_tag_ids,species_name_tags,species_name_tag_ids,other_tags,other_tag_ids,listen_url,library_url
258120,463036,5290cb0c-fe8e-42ee-b980-d670bdbd28cf,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-04-29,08:17:35,2018-04-29T08:17:35+10:00,1088:Cunnamulla,1793,Intermediate Growth 2,2017-09-25,06:25:00,2017-09-25T06:25:00+10:00,1260.896,1262.7947,1.8987,187.5,2343.75,false,225,225,,,,,528:Cow:general,528,http://api.ecosounds.org/listen/463036?start=1260&end=1290,http://api.ecosounds.org/library/463036/audio_events/258120
258119,463036,5290cb0c-fe8e-42ee-b980-d670bdbd28cf,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-04-29,08:16:46,2018-04-29T08:16:46+10:00,1088:Cunnamulla,1793,Intermediate Growth 2,2017-09-25,06:18:08,2017-09-25T06:18:08+10:00,848.2987,850.3893,2.0906,0.0,2625.0,false,225,225,,,,,528:Cow:general,528,http://api.ecosounds.org/listen/463036?start=840&end=870,http://api.ecosounds.org/library/463036/audio_events/258119
258118,463036,5290cb0c-fe8e-42ee-b980-d670bdbd28cf,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-04-29,08:14:22,2018-04-29T08:14:22+10:00,1088:Cunnamulla,1793,Intermediate Growth 2,2017-09-25,06:09:06,2017-09-25T06:09:06+10:00,306.9333,310.0053,3.072,0.0,2156.25,false,225,225,,,,,528:Cow:general,528,http://api.ecosounds.org/listen/463036?start=300&end=330,http://api.ecosounds.org/library/463036/audio_events/258118
258117,463037,2a4b6c1e-c91f-4eb4-8b7a-d99d0c5a4281,2017-09-24,06:06:00,2017-09-24T06:06:00+10:00,2018-04-29,08:10:57,2018-04-29T08:10:57+10:00,1088:Cunnamulla,1793,Intermediate Growth 2,2017-09-24,07:28:18,2017-09-24T07:28:18+10:00,4938.9653,4942.016,3.0507,6328.125,8296.875,false,225,225,,,,,540:Fairy-wren:general,540,http://api.ecosounds.org/listen/463037?start=4920&end=4950,http://api.ecosounds.org/library/463037/audio_events/258117
258116,463044,0dd36668-9365-4e55-b7e8-e364e5a88363,2017-09-21,06:09:00,2017-09-21T06:09:00+10:00,2018-04-29,07:55:44,2018-04-29T07:55:44+10:00,1088:Cunnamulla,1793,Intermediate Growth 2,2017-09-21,06:18:23,2017-09-21T06:18:23+10:00,563.4453,565.3227,1.8774,4640.625,6656.25,false,225,225,49:Chestnut-rumped Thornbill,49,,,,,http://api.ecosounds.org/listen/463044?start=540&end=570,http://api.ecosounds.org/library/463044/audio_events/258116
258115,463044,0dd36668-9365-4e55-b7e8-e364e5a88363,2017-09-21,06:09:00,2017-09-21T06:09:00+10:00,2018-04-29,07:55:29,2018-04-29T07:55:29+10:00,1088:Cunnamulla,1793,Intermediate Growth 2,2017-09-21,06:18:08,2017-09-21T06:18:08+10:00,548.9813,551.264,2.2827,140.625,1359.375,false,225,225,,,,,528:Cow:general,528,http://api.ecosounds.org/listen/463044?start=540&end=570,http://api.ecosounds.org/library/463044/audio_events/258115
258114,463044,0dd36668-9365-4e55-b7e8-e364e5a88363,2017-09-21,06:09:00,2017-09-21T06:09:00+10:00,2018-04-29,07:54:59,2018-04-29T07:54:59+10:00,1088:Cunnamulla,1793,Intermediate Growth 2,2017-09-21,06:14:43,2017-09-21T06:14:43+10:00,343.0773,345.0613,1.984,0.0,1453.125,false,225,225,,,,,528:Cow:general,528,http://api.ecosounds.org/listen/463044?start=330&end=360,http://api.ecosounds.org/library/463044/audio_events/258114
258113,463053,53be1929-19f9-494b-a66d-f17b8d095d1b,2017-09-18,06:13:00,2017-09-18T06:13:00+10:00,2018-04-28,21:27:20,2018-04-28T21:27:20+10:00,1088:Cunnamulla,1793,Intermediate Growth 2,2017-09-18,07:54:54,2017-09-18T07:54:54+10:00,6114.32,6116.176,1.856,703.125,6890.625,false,225,225,245:Yellow-rumped Thornbill,245,,,,,http://api.ecosounds.org/listen/463053?start=6090&end=6120,http://api.ecosounds.org/library/463053/audio_events/258113
258112,463053,53be1929-19f9-494b-a66d-f17b8d095d1b,2017-09-18,06:13:00,2017-09-18T06:13:00+10:00,2018-04-28,21:27:02,2018-04-28T21:27:02+10:00,1088:Cunnamulla,1793,Intermediate Growth 2,2017-09-18,07:54:02,2017-09-18T07:54:02+10:00,6062.1547,6064.032,1.8773,3890.625,7500.0,false,225,225,49:Chestnut-rumped Thornbill,49,,,,,http://api.ecosounds.org/listen/463053?start=6060&end=6090,http://api.ecosounds.org/library/463053/audio_events/258112
258111,463052,f30bb858-3f9b-4f88-8ae1-9f2dfeed7fa1,2017-09-16,06:15:00,2017-09-16T06:15:00+10:00,2018-04-28,21:15:23,2018-04-28T21:15:23+10:00,1088:Cunnamulla,1793,Intermediate Growth 2,2017-09-16,08:06:46,2017-09-16T08:06:46+10:00,6706.256,6710.5867,4.3307,1171.875,2812.5,false,225,225,95:Grey Butcherbird,95,,,,,http://api.ecosounds.org/listen/463052?start=6690&end=6720,http://api.ecosounds.org/library/463052/audio_events/258111
