audio_event_id,audio_recording_id,audio_recording_uuid,audio_recording_start_date_australia_brisbane_10_00,audio_recording_start_time_australia_brisbane_10_00,audio_recording_start_datetime_australia_brisbane_10_00,event_created_at_date_australia_brisbane_10_00,event_created_at_time_australia_brisbane_10_00,event_created_at_datetime_australia_brisbane_10_00,projects,site_id,site_name,event_start_date_australia_brisbane_10_00,event_start_time_australia_brisbane_10_00,event_start_datetime_australia_brisbane_10_00,event_start_seconds,event_end_seconds,event_duration_seconds,low_frequency_hertz,high_frequency_hertz,is_reference,created_by,updated_by,common_name_tags,common_name_tag_ids,species_name_tags,species_name_tag_ids,other_tags,other_tag_ids,listen_url,library_url
257915,462934,667ed2a0-e03a-4c11-a1fe-55e6f231b08c,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-04-27,20:06:11,2018-04-27T20:06:11+10:00,1088:Cunnamulla,1791,Old Mulga 3,2017-09-25,08:51:52,2017-09-25T08:51:52+10:00,10072.0373,10075.5573,3.52,750.0,2296.875,false,225,225,95:Grey Butcherbird,95,,,,,http://api.ecosounds.org/listen/462934?start=10050&end=10080,http://api.ecosounds.org/library/462934/audio_events/257915
257914,462934,667ed2a0-e03a-4c11-a1fe-55e6f231b08c,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-04-27,20:05:08,2018-04-27T20:05:08+10:00,1088:Cunnamulla,1791,Old Mulga 3,2017-09-25,08:28:52,2017-09-25T08:28:52+10:00,8692.464,8694.96,2.496,468.75,1828.125,false,225,225,8:Australian Raven,8,,,,,http://api.ecosounds.org/listen/462934?start=8670&end=8700,http://api.ecosounds.org/library/462934/audio_events/257914
257913,462934,667ed2a0-e03a-4c11-a1fe-55e6f231b08c,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-04-27,20:03:47,2018-04-27T20:03:47+10:00,1088:Cunnamulla,1791,Old Mulga 3,2017-09-25,08:25:32,2017-09-25T08:25:32+10:00,8492.1547,8494.224,2.0693,3421.875,5250.0,false,225,225,37:Brown Treecreeper,37,,,,,http://api.ecosounds.org/listen/462934?start=8490&end=8520,http://api.ecosounds.org/library/462934/audio_events/257913
257911,462934,667ed2a0-e03a-4c11-a1fe-55e6f231b08c,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-04-27,19:32:59,2018-04-27T19:32:59+10:00,1088:Cunnamulla,1791,Old Mulga 3,2017-09-25,06:25:49,2017-09-25T06:25:49+10:00,1309.5413,1319.8027,10.2614,2484.375,5203.125,false,225,225,37:Brown Treecreeper,37,,,,,http://api.ecosounds.org/listen/462934?start=1290&end=1320,http://api.ecosounds.org/library/462934/audio_events/257911
257910,462934,667ed2a0-e03a-4c11-a1fe-55e6f231b08c,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-04-27,19:27:12,2018-04-27T19:27:12+10:00,1088:Cunnamulla,1791,Old Mulga 3,2017-09-25,06:13:21,2017-09-25T06:13:21+10:00,561.9307,565.0453,3.1146,515.625,2343.75,false,225,225,95:Grey Butcherbird,95,,,,,http://api.ecosounds.org/listen/462934?start=540&end=570,http://api.ecosounds.org/library/462934/audio_events/257910
257909,462934,667ed2a0-e03a-4c11-a1fe-55e6f231b08c,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-04-27,19:26:22,2018-04-27T19:26:22+10:00,1088:Cunnamulla,1791,Old Mulga 3,2017-09-25,06:09:57,2017-09-25T06:09:57+10:00,357.7547,359.6747,1.92,1828.125,4218.75,false,225,225,107:Jacky Winter,107,,,,,http://api.ecosounds.org/listen/462934?start=330&end=360,http://api.ecosounds.org/library/462934/audio_events/257909
257908,462947,ac6da849-0800-44ac-b481-0ad994c34269,2017-09-21,06:09:00,2017-09-21T06:09:00+10:00,2018-04-27,18:52:54,2018-04-27T18:52:54+10:00,1088:Cunnamulla,1791,Old Mulga 3,2017-09-21,07:31:16,2017-09-21T07:31:16+10:00,4936.384,4937.984,1.6,1593.75,3281.25,false,225,225,153:Rainbow Bee-eater,153,,,,,http://api.ecosounds.org/listen/462947?start=4920&end=4950,http://api.ecosounds.org/library/462947/audio_events/257908
257907,462947,ac6da849-0800-44ac-b481-0ad994c34269,2017-09-21,06:09:00,2017-09-21T06:09:00+10:00,2018-04-27,18:48:53,2018-04-27T18:48:53+10:00,1088:Cunnamulla,1791,Old Mulga 3,2017-09-21,07:07:57,2017-09-21T07:07:57+10:00,3537.0933,3539.7387,2.6454,468.75,1500.0,false,225,225,143:Peaceful Dove,143,,,,,http://api.ecosounds.org/listen/462947?start=3510&end=3540,http://api.ecosounds.org/library/462947/audio_events/257907
257906,462947,ac6da849-0800-44ac-b481-0ad994c34269,2017-09-21,06:09:00,2017-09-21T06:09:00+10:00,2018-04-27,18:44:18,2018-04-27T18:44:18+10:00,1088:Cunnamulla,1791,Old Mulga 3,2017-09-21,06:23:00,2017-09-21T06:23:00+10:00,840.256,846.5707,6.3147,609.375,2437.5,false,225,225,100:Grey-crowned Babbler,100,,,,,http://api.ecosounds.org/listen/462947?start=840&end=870,http://api.ecosounds.org/library/462947/audio_events/257906
257841,462935,da30384a-1164-414c-829d-8d722269d2c1,2017-09-18,06:13:00,2017-09-18T06:13:00+10:00,2018-04-27,12:16:12,2018-04-27T12:16:12+10:00,1088:Cunnamulla,1791,Old Mulga 3,2017-09-18,07:35:05,2017-09-18T07:35:05+10:00,4925.7173,4926.5493,0.832,609.375,2671.875,false,225,225,99:Grey Shrike-thrush,99,,,,,http://api.ecosounds.org/listen/462935?start=4920&end=4950,http://api.ecosounds.org/library/462935/audio_events/257841
257839,462935,da30384a-1164-414c-829d-8d722269d2c1,2017-09-18,06:13:00,2017-09-18T06:13:00+10:00,2018-04-27,12:06:45,2018-04-27T12:06:45+10:00,1088:Cunnamulla,1791,Old Mulga 3,2017-09-18,06:50:06,2017-09-18T06:50:06+10:00,2226.9547,2228.1707,1.216,468.75,1593.75,false,225,225,143:Peaceful Dove,143,,,,,http://api.ecosounds.org/listen/462935?start=2220&end=2250,http://api.ecosounds.org/library/462935/audio_events/257839
257838,462946,66679bf1-8d37-4161-b6c2-153792f270c4,2017-09-16,06:15:00,2017-09-16T06:15:00+10:00,2018-04-27,10:54:42,2018-04-27T10:54:42+10:00,1088:Cunnamulla,1791,Old Mulga 3,2017-09-16,06:52:10,2017-09-16T06:52:10+10:00,2230.176,2234.4213,4.2453,1359.375,2812.5,false,225,225,146:Pied Butcherbird,146,,,,,http://api.ecosounds.org/listen/462946?start=2220&end=2250,http://api.ecosounds.org/library/462946/audio_events/257838
257837,462946,66679bf1-8d37-4161-b6c2-153792f270c4,2017-09-16,06:15:00,2017-09-16T06:15:00+10:00,2018-04-27,10:51:55,2018-04-27T10:51:55+10:00,1088:Cunnamulla,1791,Old Mulga 3,2017-09-16,06:36:56,2017-09-16T06:36:56+10:00,1316.496,1319.952,3.456,2390.625,5156.25,false,225,225,247:Yellow-throated Miner,247,,,,,http://api.ecosounds.org/listen/462946?start=1290&end=1320,http://api.ecosounds.org/library/462946/audio_events/257837
257836,462946,66679bf1-8d37-4161-b6c2-153792f270c4,2017-09-16,06:15:00,2017-09-16T06:15:00+10:00,2018-04-27,10:49:08,2018-04-27T10:49:08+10:00,1088:Cunnamulla,1791,Old Mulga 3,2017-09-16,06:29:53,2017-09-16T06:29:53+10:00,893.744,897.2213,3.4773,515.625,2671.875,false,225,225,6:Australian Magpie,6,,,,,http://api.ecosounds.org/listen/462946?start=870&end=900,http://api.ecosounds.org/library/462946/audio_events/257836
257835,462933,3a31e957-231e-454f-a24e-ca96a83c2109,2017-09-12,06:20:00,2017-09-12T06:20:00+10:00,2018-04-27,10:31:23,2018-04-27T10:31:23+10:00,1088:Cunnamulla,1791,Old Mulga 3,2017-09-12,07:57:55,2017-09-12T07:57:55+10:00,5875.8133,5878.1387,2.3254,1593.75,3234.375,false,225,225,247:Yellow-throated Miner,247,,,,,http://api.ecosounds.org/listen/462933?start=5850&end=5880,http://api.ecosounds.org/library/462933/audio_events/257835
257834,462933,3a31e957-231e-454f-a24e-ca96a83c2109,2017-09-12,06:20:00,2017-09-12T06:20:00+10:00,2018-04-27,10:24:34,2018-04-27T10:24:34+10:00,1088:Cunnamulla,1791,Old Mulga 3,2017-09-12,06:57:57,2017-09-12T06:57:57+10:00,2277.6053,2279.3973,1.792,1406.25,3000.0,false,225,225,140:Pallid Cuckoo,140,,,,,http://api.ecosounds.org/listen/462933?start=2250&end=2280,http://api.ecosounds.org/library/462933/audio_events/257834
257833,462933,3a31e957-231e-454f-a24e-ca96a83c2109,2017-09-12,06:20:00,2017-09-12T06:20:00+10:00,2018-04-27,10:24:00,2018-04-27T10:24:00+10:00,1088:Cunnamulla,1791,Old Mulga 3,2017-09-12,06:57:55,2017-09-12T06:57:55+10:00,2275.984,2277.2427,1.2587,234.375,1078.125,false,225,225,90:Goat,90,,,,,http://api.ecosounds.org/listen/462933?start=2250&end=2280,http://api.ecosounds.org/library/462933/audio_events/257833
257832,462933,3a31e957-231e-454f-a24e-ca96a83c2109,2017-09-12,06:20:00,2017-09-12T06:20:00+10:00,2018-04-27,10:23:49,2018-04-27T10:23:49+10:00,1088:Cunnamulla,1791,Old Mulga 3,2017-09-12,06:57:57,2017-09-12T06:57:57+10:00,2277.6693,2279.8027,2.1334,0.0,1453.125,false,225,225,8:Australian Raven,8,,,,,http://api.ecosounds.org/listen/462933?start=2250&end=2280,http://api.ecosounds.org/library/462933/audio_events/257832
257831,462953,a6ca09ff-bf23-48cc-b11b-360d6cc342a2,2017-09-10,06:22:00,2017-09-10T06:22:00+10:00,2018-04-27,09:42:54,2018-04-27T09:42:54+10:00,1088:Cunnamulla,1791,Old Mulga 3,2017-09-10,07:20:13,2017-09-10T07:20:13+10:00,3493.9093,3496.512,2.6027,515.625,2062.5,false,225,225,99:Grey Shrike-thrush,99,,,,,http://api.ecosounds.org/listen/462953?start=3480&end=3510,http://api.ecosounds.org/library/462953/audio_events/257831
257830,462953,a6ca09ff-bf23-48cc-b11b-360d6cc342a2,2017-09-10,06:22:00,2017-09-10T06:22:00+10:00,2018-04-27,09:38:54,2018-04-27T09:38:54+10:00,1088:Cunnamulla,1791,Old Mulga 3,2017-09-10,06:31:38,2017-09-10T06:31:38+10:00,578.6827,581.4347,2.752,2109.375,4546.875,false,225,225,37:Brown Treecreeper,37,,,,,http://api.ecosounds.org/listen/462953?start=570&end=600,http://api.ecosounds.org/library/462953/audio_events/257830
