audio_event_id,audio_recording_id,audio_recording_uuid,audio_recording_start_date_australia_brisbane_10_00,audio_recording_start_time_australia_brisbane_10_00,audio_recording_start_datetime_australia_brisbane_10_00,event_created_at_date_australia_brisbane_10_00,event_created_at_time_australia_brisbane_10_00,event_created_at_datetime_australia_brisbane_10_00,projects,site_id,site_name,event_start_date_australia_brisbane_10_00,event_start_time_australia_brisbane_10_00,event_start_datetime_australia_brisbane_10_00,event_start_seconds,event_end_seconds,event_duration_seconds,low_frequency_hertz,high_frequency_hertz,is_reference,created_by,updated_by,common_name_tags,common_name_tag_ids,species_name_tags,species_name_tag_ids,other_tags,other_tag_ids,listen_url,library_url
257545,463183,0ba27442-ce74-4c09-ab3b-0c940a4ce3d4,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-03-31,09:11:42,2018-03-31T09:11:42+10:00,1088:Cunnamulla,1797,Regrowth Mulga 2,2017-09-25,08:25:27,2017-09-25T08:25:27+10:00,8487.84,8489.5467,1.7067,3562.5,6046.875,false,225,225,,,,,540:Fairy-wren:general,540,http://api.ecosounds.org/listen/463183?start=8460&end=8490,http://api.ecosounds.org/library/463183/audio_events/257545
257544,463183,0ba27442-ce74-4c09-ab3b-0c940a4ce3d4,2017-09-25,06:04:00,2017-09-25T06:04:00+10:00,2018-03-31,08:36:22,2018-03-31T08:36:22+10:00,1088:Cunnamulla,1797,Regrowth Mulga 2,2017-09-25,06:09:30,2017-09-25T06:09:30+10:00,330.2773,336.4213,6.144,187.5,1171.875,false,225,225,60:Crested Bellbird,60,,,,,http://api.ecosounds.org/listen/463183?start=330&end=360,http://api.ecosounds.org/library/463183/audio_events/257544
257543,463172,67d28d4f-1ca4-4e89-bcd1-6109d6472280,2017-09-18,06:13:00,2017-09-18T06:13:00+10:00,2018-03-29,15:57:38,2018-03-29T15:57:38+10:00,1088:Cunnamulla,1797,Regrowth Mulga 2,2017-09-18,06:22:30,2017-09-18T06:22:30+10:00,570.4693,574.416,3.9467,375.0,2625.0,false,225,225,187:Spiny-cheeked Honeyeater,187,,,,,http://api.ecosounds.org/listen/463172?start=570&end=600,http://api.ecosounds.org/library/463172/audio_events/257543
257542,463191,3ceb9af9-0809-430d-bbce-37e8ffa61c3a,2017-09-12,06:20:00,2017-09-12T06:20:00+10:00,2018-03-29,15:39:14,2018-03-29T15:39:14+10:00,1088:Cunnamulla,1797,Regrowth Mulga 2,2017-09-12,08:37:00,2017-09-12T08:37:00+10:00,8220.5547,8221.8133,1.2586,1265.625,4781.25,false,225,225,169:Rufous Whistler,169,,,,,http://api.ecosounds.org/listen/463191?start=8220&end=8250,http://api.ecosounds.org/library/463191/audio_events/257542
257541,463191,3ceb9af9-0809-430d-bbce-37e8ffa61c3a,2017-09-12,06:20:00,2017-09-12T06:20:00+10:00,2018-03-29,15:35:00,2018-03-29T15:35:00+10:00,1088:Cunnamulla,1797,Regrowth Mulga 2,2017-09-12,07:04:36,2017-09-12T07:04:36+10:00,2676.3147,2677.5093,1.1946,328.125,3796.875,false,225,225,187:Spiny-cheeked Honeyeater,187,,,,,http://api.ecosounds.org/listen/463191?start=2670&end=2700,http://api.ecosounds.org/library/463191/audio_events/257541
257540,463186,757a4714-b613-4329-8ef3-47649c196a75,2017-09-10,06:22:00,2017-09-10T06:22:00+10:00,2018-03-29,15:16:00,2018-03-29T15:16:00+10:00,1088:Cunnamulla,1797,Regrowth Mulga 2,2017-09-10,06:43:45,2017-09-10T06:43:45+10:00,1305.4027,1311.6533,6.2506,4406.25,6796.875,false,225,225,49:Chestnut-rumped Thornbill,49,,,,,http://api.ecosounds.org/listen/463186?start=1290&end=1320,http://api.ecosounds.org/library/463186/audio_events/257540
257539,463195,b940927b-c3db-4683-acdf-22b37ac789db,2017-09-07,06:25:00,2017-09-07T06:25:00+10:00,2018-03-29,12:45:44,2018-03-29T12:45:44+10:00,1088:Cunnamulla,1797,Regrowth Mulga 2,2017-09-07,07:27:18,2017-09-07T07:27:18+10:00,3738.2827,3743.2533,4.9706,140.625,1312.5,false,225,225,60:Crested Bellbird,60,,,,,http://api.ecosounds.org/listen/463195?start=3720&end=3750,http://api.ecosounds.org/library/463195/audio_events/257539
257538,463168,32608979-a31e-4c40-a24b-dc919e600a4e,2017-09-02,06:31:00,2017-09-02T06:31:00+10:00,2018-03-29,11:35:03,2018-03-29T11:35:03+10:00,1088:Cunnamulla,1797,Regrowth Mulga 2,2017-09-02,08:55:41,2017-09-02T08:55:41+10:00,8681.6053,8684.2507,2.6454,421.875,2390.625,false,225,225,187:Spiny-cheeked Honeyeater,187,,,,,http://api.ecosounds.org/listen/463168?start=8670&end=8700,http://api.ecosounds.org/library/463168/audio_events/257538
257537,463168,32608979-a31e-4c40-a24b-dc919e600a4e,2017-09-02,06:31:00,2017-09-02T06:31:00+10:00,2018-03-29,11:34:04,2018-03-29T11:34:04+10:00,1088:Cunnamulla,1797,Regrowth Mulga 2,2017-09-02,08:31:41,2017-09-02T08:31:41+10:00,7241.072,7242.6933,1.6213,93.75,3093.75,false,225,225,187:Spiny-cheeked Honeyeater,187,,,,,http://api.ecosounds.org/listen/463168?start=7230&end=7260,http://api.ecosounds.org/library/463168/audio_events/257537
257536,463177,29634faa-0d5e-4857-8b35-ede0ec1d5085,2017-09-01,06:32:00,2017-09-01T06:32:00+10:00,2018-03-29,10:01:23,2018-03-29T10:01:23+10:00,1088:Cunnamulla,1797,Regrowth Mulga 2,2017-09-01,08:09:56,2017-09-01T08:09:56+10:00,5876.4533,5878.7147,2.2614,1453.125,6000.0,false,225,225,169:Rufous Whistler,169,,,,,http://api.ecosounds.org/listen/463177?start=5850&end=5880,http://api.ecosounds.org/library/463177/audio_events/257536
